1.95,0.07
3.42,0.09
2.19,0.09
3.12,0.1
3.5,0.1
2.63,0.19
2.06,0.1
3.75,0.1
4.05,0.11
1.76,0.1
2.1,0.11
3.58,0.13
1.87,0.13
2.56,0.12
2.06,0.12
3.24,0.13
2.23,0.13
2.14,0.12
2.28,0.12
1.71,0.13
3.22,0.13
2.94,0.14
2.45,0.16
2.45,0.14
3.07,0.17
2.51,0.16
2.76,0.16
2.99,0.14
2.27,0.15
1.73,0.14
2.25,0.15
2.14,0.14
2.7,0.15
2.2,0.14
2.27,0.15
2.22,0.14
2.54,0.14
2.27,0.14
2.93,0.14
2.04,0.15
2.79,0.14
2.07,0.14
2.55,0.19
2.22,0.17
3.21,0.15
2.15,0.16
2.43,0.15
1.95,0.15
2.75,0.14
2.02,0.15
3.11,0.23
3.06,0.18
4.94,0.21
5.48,0.24
2.63,0.25
5.34,0.26
4.13,0.49
3.66,0.24
2.97,0.26
2.75,0.3
2.68,0.42
2.33,0.24
2.44,0.24
2.7,0.22
5.26,0.21
2.22,0.19
2.8,0.18
1.73,0.18
2.43,0.2
2.44,0.2
2.46,0.2
2.16,0.2
2.29,0.19
2.74,0.19
2.26,0.17
2.39,0.18
2.3,0.21
2.64,0.19
2.67,0.2
2.23,0.2
2.32,0.21
2.69,0.21
2.09,0.17
2.5,0.17
1.61,0.18
3.03,0.18
2.36,0.2
2.44,0.18
2,0.18
3.03,0.18
2.54,0.22
2.63,0.21
2.45,0.21
3.5,0.22
2.69,0.2
2.79,0.28
2.27,0.21
2.7,0.18
2.12,0.21
2.56,0.2
1.97,0.18
2.68,0.19
1.93,0.29
2.48,0.21
2.81,0.21
1.82,0.2
3.12,0.23
2.65,0.22
2.61,0.43
2.73,0.26
3.2,0.24
1.74,0.2
1.9,0.21
2.59,0.21
2.27,0.23
2.46,0.2
2.49,0.25
2.35,0.21
2.79,0.22
2.95,0.24
2.18,0.2
2.07,0.22
2.58,0.24
2.05,0.21
2.29,0.22
2.15,0.22
2.74,0.24
2.1,0.24
2.63,0.23
2.11,0.24
2.73,0.22
2.13,0.22
2.44,0.23
2.2,0.23
3.09,0.27
2.24,0.26
3.46,0.27
2.62,0.29
1.97,0.27
3.02,0.26
2.76,0.26
2.21,0.26
2.03,0.25
2.87,0.25
2.8,0.25
1.89,0.26
2.79,0.24
2.37,0.24
2.05,0.24
2.58,0.31
2.27,0.3
3.03,0.28
2.73,0.27
1.75,0.25
3.01,0.24
2.52,0.3
2.03,0.28
3.2,0.31
2.18,0.3
2.63,0.3
2.46,0.29
2.71,0.38
5.16,0.3
4.03,0.32
5.54,0.37
3,0.43
3.21,0.58
2.88,0.38
2.14,0.34
2.32,0.43
2.3,0.41
3.24,0.36
2.43,0.3
1.95,0.28
1.88,0.26
5.17,0.31
2.16,0.25
1.86,0.25
2.33,0.25
2.08,0.25
3.09,0.25
2.54,0.28
2.09,0.24
2.38,0.24
1.99,0.27
2.36,0.26
1.7,0.24
3.31,0.31
3.26,0.5
3.75,0.5
2.2,0.25
2.11,0.25
2.75,0.28
2.27,0.26
3.14,0.32
2.64,0.28
2.33,0.3
2.22,0.29
2.84,0.25
2.24,0.27
4.27,0.32
5.13,0.35
3.64,0.35
2.74,0.29
2.99,0.29
2.83,0.27
2.29,0.32
2.16,0.32
2.39,0.26
2.94,0.3
2.17,0.42
2.4,0.27
2.39,0.28
1.67,0.27
3.01,0.25
1.98,0.29
2.88,0.27
2.45,0.27
2.39,0.27
4.57,0.29
3.34,0.26
2.63,0.33
3.01,0.27
2.26,0.27
1.81,0.26
2.62,0.27
2.16,0.27
2.16,0.25
1.95,0.28
2.3,0.28
2.03,0.26
2.96,0.28
2.53,0.28
3.19,0.25
2.4,0.24
2.52,0.29
2.21,0.25
2.53,0.28
1.69,0.22
2.35,0.27
2.41,0.27
2.57,0.26
2.04,0.3
2.62,0.28
1.93,0.25
1.96,0.24
2.66,0.28
2.44,0.26
2.42,0.26
1.82,0.23
2.31,0.24
2.21,0.29
2.58,0.3
2.77,0.29
2.6,0.27
2.18,0.26
2.98,0.27
2.22,0.26
3.28,0.31
3.02,0.29
2.4,0.3
2.12,0.29
2.26,0.31
2.38,0.3
1.75,0.31
2.2,0.35
2.27,0.35
2.28,0.33
2.27,0.31
2.01,0.31
4.49,0.32
4.95,0.44
6.43,0.64
3.22,0.58
4.91,0.55
2.69,0.47
3.49,0.41
3.79,0.46
3.09,0.43
2.64,0.38
2.88,0.35
4.47,0.4
3.73,0.37
2.06,0.33
2.11,0.35
2.58,0.33
1.78,0.28
2.51,0.31
2.85,0.31
1.75,0.27
1.99,0.3
1.73,0.27
2.06,0.27
2.72,0.29
1.88,0.32
2.89,0.29
2.34,0.27
2.29,0.27
2.2,0.28
1.85,0.27
2.6,0.28
2.32,0.32
2.16,0.28
2.81,0.31
2.83,0.31
1.69,0.27
3.06,0.37
3.51,0.38
2.74,0.82
3.45,0.39
2.18,0.32
2.98,0.38
2.64,0.5
2.9,0.34
1.87,0.33
3.25,0.35
2.63,0.33
1.79,0.34
2.52,0.27
1.94,0.28
3.1,0.31
2.35,0.28
2.12,0.27
2.93,0.3
1.86,0.27
2.82,0.28
2.27,0.33
2.73,0.32
3.24,0.36
3.2,0.39
3.62,0.5
3.7,0.35
2.39,0.33
2.24,0.31
2.38,0.32
3.04,0.39
2.64,0.34
3.11,0.35
2.54,0.35
2.38,0.33
2.21,0.33
2.07,0.45
2.42,0.32
2.34,0.35
3.51,0.38
4.07,0.44
4.03,0.37
2.3,0.33
2.71,0.32
2.68,0.38
2.91,0.39
2.65,0.32
2.18,0.31
2.21,0.32
2.2,0.29
2.21,0.28
2.84,0.33
2.62,0.35
3.11,0.58
2.64,0.35
2.92,0.37
2.73,0.39
2.67,0.38
2.76,0.34
2.84,0.38
2.82,0.42
2.54,0.35
2.49,0.36
1.93,0.29
2.68,0.33
2.17,0.34
2.54,0.34
2.7,0.36
2.99,0.38
4.72,0.4
4.22,0.41
7.03,0.43
3.88,0.44
3.11,0.37
3.04,0.39
2.91,0.42
2.81,0.39
3.37,0.45
3.33,0.42
3.05,0.37
2.85,0.39
5.12,0.4
2.88,0.4
2.83,0.39
2.9,0.38
2.87,0.38
3.24,0.41
2.86,0.38
3.11,0.38
4.02,0.41
2.71,0.37
2.82,0.38
2.81,0.39
2.86,0.39
3.13,0.43
